"","Real","Predict"
"102-06-7","0","0"
"79-09-4","0","0"
"3452-97-9","0","0"
"1119-97-7","0","0"
"147-24-0","0","0"
"50-28-2","0","0"
"609-66-5","0","0"
"76703-62-3","0","0"
"122-20-3","0","0"
"103-90-2","0","0"
"51-03-6","0","0"
"513-86-0","0","0"
"99-87-6","0","0"
"83-56-7","0","0"
"15307-79-6","0","0"
"75-86-5","0","0"
"4418-26-2","0","0"
"335-67-1","0","0"
"1119-40-0","0","0"
"361343-19-3","0","0"
"94-28-0","0","0"
"118-75-2","0","0"
"75-50-3","0","0"
"754-91-6","0","0"
"NOCAS_47334","0","0"
"68157-60-8","0","0"
"109-77-3","0","0"
"75-64-9","0","0"
"95-95-4","0","0"
"1885-38-7","0","0"
"89-83-8","0","0"
"40487-42-1","0","0"
"103-28-6","0","0"
"821-48-7","0","0"
"95266-40-3","0","0"
"139-88-8","0","0"
"60-57-1","0","0"
"138-86-3","0","0"
"142-18-7","0","0"
"271-89-6","0","0"
"111-55-7","0","0"
"82385-42-0","0","0"
"58-85-5","0","0"
"633-96-5","0","0"
"1698-60-8","0","0"
"104-76-7","0","0"
"97-00-7","0","0"
"67786-14-5","0","0"
"873-32-5","0","0"
"128-39-2","0","0"
"78-42-2","0","0"
"1563-66-2","0","0"
"6440-58-0","0","0"
"188489-07-8","0","0"
"51632-16-7","0","0"
"60-12-8","0","0"
"81-07-2","0","0"
"3913-02-8","0","0"
"314-40-9","0","0"
"616-45-5","0","0"
"29548-30-9","0","0"
"874-60-2","0","0"
"538-75-0","0","0"
"1987-50-4","0","0"
"99-66-1","0","0"
"68959-20-6","0","0"
"88-74-4","0","0"
"112281-77-3","0","0"
"2114-11-6","0","0"
"1068967-96-3","0","0"
"7287-19-6","0","0"
"69655-05-6","0","0"
"56-53-1","0","0"
"126-14-7","0","0"
"90-04-0","0","0"
"52663-68-0","0","0"
"173584-44-6","0","0"
"868-57-5","0","0"
"181640-09-5","0","0"
"108-80-5","0","0"
"335-76-2","0","0"
"129-06-6","0","0"
"7779-27-3","0","0"
"1072-15-7","0","0"
"16409-43-1","0","0"
"3068-00-6","0","0"
"50-81-7","0","0"
"3634-83-1","0","0"
"77-78-1","0","0"
"3547-33-9","0","0"
"221671-62-1","0","0"
"3319-31-1","0","0"
"109-02-4","0","0"
"135-98-8","0","0"
"56-81-5","0","0"
"28249-77-6","0","0"
"68359-37-5","0","0"
"64-67-5","0","0"
"124-05-0","0","0"
"4584-46-7","0","0"
"84087-01-4","0","0"
"120-36-5","0","0"
"2176-62-7","0","0"
"117337-19-6","0","0"
"61-82-5","0","0"
"131860-33-8","0","0"
"26225-79-6","0","0"
"79-44-7","0","0"
"104-72-3","0","0"
"60-56-0","0","0"
"1120-21-4","0","0"
"83-88-5","0","0"
"82-44-0","0","0"
"16867-04-2","0","0"
"75-99-0","0","0"
"104-51-8","0","0"
"117-39-5","0","0"
"92-44-4","0","0"
"606-20-2","0","0"
"85-01-8","0","0"
"111-31-9","0","0"
"140-49-8","0","0"
"111-27-3","0","0"
"13676-54-5","0","0"
"127-39-9","0","0"
"2051-62-9","0","0"
"79902-63-9","0","0"
"111-40-0","0","0"
"759-94-4","0","0"
"461-58-5","0","0"
"58-89-9","0","0"
"16079-88-2","0","0"
"158081-99-3","0","0"
"126-73-8","0","0"
"2212-67-1","0","0"
"142-92-7","0","0"
"141-22-0","0","0"
"161050-58-4","0","0"
"532-27-4","0","0"
"112-00-5","0","0"
"52-68-6","0","0"
"1843-05-6","0","0"
"109-46-6","0","0"
"111991-09-4","0","0"
"100-43-6","0","0"
"85721-33-1","0","0"
"96-76-4","0","0"
"14765-30-1","0","0"
"83-32-9","0","0"
"527-60-6","0","0"
"5437-45-6","0","0"
"1118-92-9","0","0"
"495-18-1","0","0"
"33820-53-0","0","0"
"21662-09-9","0","0"
"122-19-0","0","0"
"NOCAS_47379","0","0"
"120-51-4","0","0"
"5949-05-3","0","0"
"621-64-7","0","0"
"140-95-4","0","0"
"105-21-5","0","0"
"83834-59-7","0","0"
"92-84-2","0","0"
"58-14-0","0","0"
"193-39-5","0","0"
"2385-85-5","0","0"
"1008-72-6","0","0"
"3252-43-5","0","0"
"26002-80-2","0","0"
"98-87-3","0","0"
"35958-30-6","0","0"
"571-58-4","0","0"
"51-30-9","0","0"
"55-98-1","0","0"
"24602-86-6","0","0"
"716-79-0","0","0"
"7747-35-5","0","0"
"3852-09-3","0","0"
"60207-90-1","0","0"
"126-06-7","0","0"
"132-64-9","0","0"
"99-86-5","0","0"
"1120-01-0","0","0"
"2058-94-8","0","0"
"501027-49-2","0","0"
"110-01-0","0","0"
"3006-93-7","0","0"
"4574-04-3","0","0"
"577-11-7","0","0"
"1135-66-6","0","0"
"64359-81-5","0","0"
"623-36-9","0","0"
"10453-86-8","0","0"
"76-03-9","0","0"
"144550-36-7","0","0"
"111-21-7","0","0"
"29091-21-2","0","0"
"111-15-9","0","0"
"307-24-4","0","0"
"52315-07-8","0","0"
"742693-38-5","0","0"
"142-31-4","0","0"
"2122-70-5","0","0"
"16587-71-6","0","0"
"30560-19-1","0","0"
"700-13-0","0","0"
"179465-71-5","0","0"
"108-93-0","0","0"
"58-56-0","0","0"
"149-57-5","0","0"
"107-70-0","0","0"
"141-32-2","0","0"
"96-18-4","0","0"
"86-28-2","0","0"
"NOCAS_47265","0","0"
"91-64-5","0","0"
"94-82-6","0","0"
"111-14-8","0","0"
"129453-61-8","0","0"
"700-06-1","0","0"
"109-97-7","0","0"
"57-09-0","0","0"
"78-62-6","0","0"
"533-23-3","0","0"
"58-08-2","0","0"
"106-49-0","0","0"
"58394-64-2","0","0"
"39236-46-9","0","0"
"112410-23-8","0","0"
"124-03-8","0","0"
"139968-49-3","0","0"
"112-49-2","0","0"
"15625-89-5","0","0"
"24683-00-9","0","0"
"115-86-6","0","0"
"107-54-0","0","0"
"2807-30-9","0","0"
"124495-18-7","0","0"
"110-05-4","0","0"
"107-88-0","0","0"
"79-97-0","0","0"
"114-07-8","0","0"
"725228-45-5","0","0"
"3648-21-3","0","0"
"361377-29-9","0","0"
"126-11-4","0","0"
"91-66-7","0","0"
"117-84-0","0","0"
"108-67-8","0","0"
"451-40-1","0","0"
"120-14-9","0","0"
"693-54-9","0","0"
"143390-89-0","0","0"
"626-48-2","0","0"
"150-13-0","0","0"
"5153-25-3","0","0"
"111-20-6","0","0"
"261947-38-0","0","0"
"110-25-8","0","0"
"446-72-0","0","0"
"100-97-0","0","0"
"108-59-8","0","0"
"10061-01-5","0","0"
"927-62-8","0","0"
"99-63-8","0","0"
"298-04-4","0","0"
"13254-34-7","0","0"
"73-22-3","0","0"
"88-41-5","0","0"
"1143-38-0","0","0"
"72490-01-8","0","0"
"52-86-8","0","0"
"1559-35-9","0","0"
"50-29-3","0","0"
"2943-75-1","0","0"
"131-70-4","0","0"
"107-46-0","0","0"
"2402-78-0","0","0"
"767-00-0","0","0"
"647-42-7","0","0"
"127-51-5","0","0"
"34014-18-1","0","0"
"72-20-8","0","0"
"77-83-8","0","0"
"62-74-8","0","0"
"526-73-8","0","0"
"120116-88-3","0","0"
"5977-14-0","0","0"
"2934-05-6","0","0"
"104-43-8","0","0"
"108-87-2","0","0"
"2782-57-2","0","0"
"77-47-4","0","0"
"112-35-6","0","0"
"756-79-6","0","0"
"90-72-2","0","0"
"54-85-3","0","0"
"1559-34-8","0","0"
"61949-77-7","0","0"
"112-14-1","0","0"
"330-55-2","0","0"
"2432-87-3","0","0"
"96-54-8","0","0"
"25152-84-5","0","0"
"32388-55-9","0","0"
"16529-56-9","0","0"
"2043-57-4","0","0"
"120068-37-3","0","0"
"331623-06-4","0","0"
"129299-90-7","0","0"
"112-34-5","0","0"
"94-59-7","0","0"
"123-17-1","0","0"
"3739-38-6","0","0"
"2835-39-4","0","0"
"74051-80-2","0","0"
"4291-63-8","0","0"
"79-57-2","0","0"
"96-70-8","0","0"
"53-03-2","0","0"
"135-20-6","0","0"
"2756-56-1","0","0"
"112-29-8","0","0"
"1194-65-6","0","0"
"1929-73-3","0","0"
"5146-66-7","0","0"
"105-60-2","0","0"
"584-84-9","0","0"
"313994-79-5","0","0"
"78491-02-8","0","0"
"16672-87-0","0","0"
"110-69-0","0","0"
"141-04-8","0","0"
"111-87-5","0","0"
"115-96-8","0","0"
"104-66-5","0","0"
"588941-45-1","0","0"
"461023-63-2","0","0"
"648917-13-9","0","0"
"94-71-3","0","0"
"181274-15-7","0","0"
"118-52-5","0","0"
"72-55-9","0","0"
"3871-99-6","0","0"
"712-50-5","0","0"
"219790-72-4","0","0"
"13183-79-4","0","0"
"5877-42-9","0","0"
"101-84-8","0","0"
"2465-27-2","0","0"
"110-33-8","0","0"
"140-11-4","0","0"
"131-17-9","0","0"
"1563-38-8","0","0"
"116-06-3","0","0"
"89-61-2","0","0"
"6485-40-1","0","0"
"3268-49-3","0","0"
"112-53-8","0","0"
"80-46-6","0","0"
"2772-45-4","0","0"
"930-55-2","0","0"
"119446-68-3","0","0"
"107-41-5","0","0"
"131-18-0","0","0"
"301-00-8","0","0"
"108-01-0","0","0"
"174185-16-1","0","0"
"80-26-2","0","0"
"569-64-2","0","0"
"15972-60-8","0","0"
"141-66-2","0","0"
"NOCAS_47292","0","0"
"111-46-6","0","0"
"1541-81-7","0","0"
"283594-90-1","0","0"
"319-86-8","0","0"
"344930-95-6","0","0"
"929-59-9","0","0"
"107071-66-9","0","0"
"112-60-7","0","0"
"586-62-9","0","0"
"99129-21-2","0","0"
"67-30-1","0","0"
"599-64-4","0","0"
"126-00-1","0","0"
"96-23-1","0","0"
"123-56-8","0","0"
"89-75-8","0","0"
"99-85-4","0","0"
"552-30-7","0","0"
"NOCAS_47255","0","0"
"839-90-7","0","0"
"199119-58-9","0","0"
"4638-48-6","0","0"
"23135-22-0","0","0"
"123-11-5","0","0"
"1489-69-6","0","0"
"684-93-5","0","0"
"55512-33-9","0","0"
"110553-27-0","0","0"
"141-93-5","0","0"
"643-79-8","0","0"
"5392-40-5","0","0"
"13194-48-4","0","0"
"928-96-1","0","0"
"84-58-2","0","0"
"1470-94-6","0","0"
"5655-61-8","0","0"
"93-53-8","0","0"
"144-74-1","0","0"
"51384-51-1","0","0"
"75330-75-5","0","0"
"78-77-3","0","0"
"97-86-9","0","0"
"288104-79-0","0","0"
"122454-29-9","0","0"
"121-33-5","0","0"
"1120-04-3","0","0"
"3025-30-7","0","0"
"87-25-2","0","0"
"541-73-1","0","0"
"134-31-6","0","0"
"119-36-8","0","0"
"163520-33-0","0","0"
"4390-04-9","0","0"
"76014-81-8","0","0"
"10605-21-7","0","0"
"136-60-7","0","0"
"2761-24-2","0","0"
"90982-32-4","0","0"
"86479-06-3","0","0"
"79-43-6","0","0"
"90325-47-6","0","0"
"5216-25-1","0","0"
"87674-68-8","0","0"
"99-07-0","0","0"
"68-11-1","0","0"
"120-95-6","0","0"
"1656-48-0","0","0"
"120-82-1","0","0"
"156052-68-5","0","0"
"470-90-6","0","0"
"NOCAS_48522","0","0"
"612-12-4","0","0"
"2499-95-8","0","0"
"127-19-5","0","0"
"3064-70-8","0","0"
"4107-98-6","0","0"
"717-74-8","0","0"
"599-79-1","0","0"
"628-63-7","0","0"
"111-30-8","0","0"
"2031-67-6","0","0"
"51235-04-2","0","0"
"263553-33-9","0","0"
"104-40-5","0","0"
"5694-00-8","0","0"
"121-69-7","0","0"
"99-97-8","0","0"
"123-00-2","0","0"
"101-86-0","0","0"
"503-74-2","0","0"
"3647-69-6","0","0"
"NOCAS_47381","0","0"
"97-74-5","0","0"
"141-43-5","0","0"
"3383-96-8","0","0"
"93-76-5","0","0"
"53-16-7","0","0"
"147-81-9","0","0"
"25956-17-6","0","0"
"122008-85-9","0","0"
"4672-49-5","0","0"
"678-39-7","0","0"
"17418-58-5","0","0"
"140939-15-7","0","0"
"14371-10-9","0","0"
"486-56-6","0","0"
"80-48-8","0","0"
"109-52-4","0","0"
"103-69-5","0","0"
"107-07-3","0","0"
"6359-90-6","0","0"
"25057-89-0","0","0"
"1929-82-4","0","0"
"118-82-1","0","0"
"3173-72-6","0","0"
"5138-18-1","0","0"
"91-67-8","0","0"
"104795-68-8","0","0"
"76738-62-0","0","0"
"21145-77-7","0","0"
"120-65-0","0","0"
"154-42-7","0","0"
"10540-29-1","0","0"
"14351-66-7","0","0"
"123-01-3","0","0"
"23593-75-1","0","0"
"24851-98-7","0","0"
"533-74-4","0","0"
"20018-09-1","0","0"
"133-07-3","0","0"
"2634-33-5","0","0"
"97886-45-8","0","0"
"104-90-5","0","0"
"112-05-0","0","0"
"50471-44-8","0","0"
"118-58-1","0","0"
"4468-42-2","0","0"
"120-61-6","0","0"
"4376-18-5","0","0"
"111-44-4","0","0"
"94-60-0","0","0"
"134-32-7","0","0"
"3026-63-9","0","0"
"1139-30-6","0","0"
"50-22-6","0","0"
"2610-11-9","0","0"
"112-12-9","0","0"
"60168-88-9","0","0"
"17804-35-2","0","0"
"149413-74-1","0","0"
"485-31-4","0","0"
"99-08-1","0","0"
"6789-88-4","0","0"
"80844-07-1","0","0"
"4162-45-2","0","0"
"487-06-9","0","0"
"90-43-7","0","0"
"625114-41-2","0","0"
"36653-82-4","0","0"
"239110-15-7","0","0"
"103-65-1","0","0"
"56-95-1","0","0"
"115-28-6","0","0"
"5349-51-9","0","0"
"107-98-2","0","0"
"2444-46-4","0","0"
"57-50-1","0","0"
"643-28-7","0","0"
"97322-87-7","0","0"
"151-21-3","0","0"
"512-42-5","0","0"
"122-62-3","0","0"
"23103-98-2","0","0"
"87818-31-3","0","0"
"142-08-5","0","0"
"86386-73-4","0","0"
"140-38-5","0","0"
"50-14-6","0","0"
"16219-75-3","0","0"
"208-96-8","0","0"
"189003-92-7","0","0"
"13684-63-4","0","0"
"110-93-0","0","0"
"98967-40-9","0","0"
"79277-27-3","0","0"
"19044-88-3","0","0"
"6317-18-6","0","0"
"826-62-0","0","0"
"105-87-3","0","0"
"4712-55-4","0","0"
"824-39-5","0","0"
"123312-89-0","0","0"
"3118-97-6","0","0"
"153233-91-1","0","0"
"6624-73-3","0","0"
"16356-11-9","0","0"
"1596-84-5","0","0"
"103-56-0","0","0"
"69-65-8","0","0"
"65-71-4","0","0"
"110-85-0","0","0"
"116-29-0","0","0"
"6381-77-7","0","0"
"81335-37-7","0","0"
"85264-33-1","0","0"
"763-29-1","0","0"
"106-46-7","0","0"
"123-77-3","0","0"
"474-86-2","0","0"
"860-22-0","0","0"
"21564-17-0","0","0"
"110-26-9","0","0"
"1112-39-6","0","0"
"1163-19-5","0","0"
"24157-81-1","0","0"
"29420-49-3","0","0"
"69806-50-4","0","0"
"872-50-4","0","0"
"NOCAS_47385","0","0"
"95-53-4","0","0"
"115-84-4","0","0"
"589-66-2","0","0"
"85509-19-9","0","0"
"59227-89-3","0","0"
"79-06-1","0","0"
"84-74-2","0","0"
"1111-78-0","0","0"
"584-13-4","0","0"
"55406-53-6","0","0"
"112529-15-4","0","0"
"79983-71-4","0","0"
"584-79-2","0","0"
"420-04-2","0","0"
"56070-16-7","0","0"
"133-90-4","0","0"
"94-80-4","0","0"
"33228-45-4","0","0"
"84-16-2","0","0"
"544-01-4","0","0"
"194098-25-4","0","0"
"104-61-0","0","0"
"101-81-5","0","0"
"2675-77-6","0","0"
"131-52-2","0","0"
"41484-35-9","0","0"
"1918-02-1","0","0"
"108-74-7","0","0"
"134-85-0","0","0"
"493-52-7","0","0"
"108-94-1","0","0"
"107-21-1","0","0"
"249296-43-3","0","0"
"707-61-9","0","0"
"109-78-4","0","0"
"121-91-5","0","0"
"60-33-3","0","0"
"57-74-9","0","0"
"28434-00-6","0","0"
"79-24-3","0","0"
"2439-01-2","0","0"
"89-87-2","0","0"
"88-10-8","0","0"
"1675-54-3","0","0"
"1638-22-8","0","0"
"2386-87-0","0","0"
"728-40-5","0","0"
"4904-61-4","0","0"
"77-71-4","0","0"
"25812-30-0","0","0"
"58-86-6","0","0"
"200940-23-4","0","0"
"126-92-1","0","0"
"646-06-0","0","0"
"605-45-8","0","0"
"51229-78-8","0","0"
"81406-37-3","0","0"
"309-00-2","0","0"
"288-88-0","0","0"
"123-33-1","0","0"
"111-90-0","0","0"
"23386-52-9","0","0"
"53-43-0","0","0"
"NOCAS_48509","0","0"
"175178-82-2","0","0"
"93-52-7","0","0"
"87-91-2","0","0"
"6359-82-6","0","0"
"69377-81-7","0","0"
"375-85-9","0","0"
"565-80-0","0","0"
"3825-26-1","0","0"
"51-52-5","0","0"
"101-67-7","0","0"
"102-60-3","0","0"
"80-54-6","0","0"
"111-85-3","0","0"
"123343-16-8","0","0"
"104-87-0","0","0"
"629-62-9","0","0"
"88-60-8","0","0"
"159138-81-5","0","0"
"109293-97-2","0","0"
"NOCAS_48516","0","0"
"6174-86-3","0","0"
"584-03-2","0","0"
"123-02-4","0","0"
"2550-40-5","0","0"
"464-48-2","0","0"
"1646-88-4","0","0"
"6385-62-2","0","0"
"924-16-3","0","0"
"79-39-0","0","0"
"124-13-0","0","0"
"69-09-0","0","0"
"187022-11-3","0","0"
"3855-32-1","0","0"
"122-01-0","0","0"
"2164-17-2","0","0"
"101-10-0","0","0"
"103-09-3","0","0"
"1260-17-9","0","0"
"NOCAS_47346","0","0"
"628-81-9","0","0"
"1582-09-8","0","0"
"138261-41-3","0","0"
"117428-22-5","0","0"
"66-81-9","0","0"
"123-07-9","0","0"
"551-93-9","0","0"
"98-53-3","0","0"
"1120-71-4","0","0"
"2231-57-4","0","0"
"141112-29-0","0","0"
"611-14-3","0","0"
"129-17-9","0","0"
"101-55-3","0","0"
"298-02-2","0","0"
"2481-94-9","0","0"
"1879-09-0","0","0"
"93-15-2","0","0"
"824-78-2","0","0"
"1459-93-4","0","0"
"124-09-4","0","0"
"615-20-3","0","0"
"444610-91-7","0","0"
"103-24-2","0","0"
"155990-20-8","0","0"
"110235-47-7","0","0"
"77-86-1","0","0"
"1241-94-7","0","0"
"59756-60-4","0","0"
"10094-34-5","0","0"
"122-42-9","0","0"
"3337-71-1","0","0"
"98-95-3","0","0"
"91-10-1","0","0"
"1067-53-4","0","0"
"84-66-2","0","0"
"75-07-0","0","0"
"146011-65-6","0","0"
"96-09-3","0","0"
"136-45-8","0","0"
"1445-75-6","0","0"
"95-57-8","0","0"
"143-07-7","0","0"
"106-30-9","0","0"
"627-93-0","0","0"
"105-31-7","0","0"
"3844-45-9","0","0"
"311-45-5","0","0"
"744-45-6","0","0"
"112-18-5","0","0"
"147150-35-4","0","0"
"3653-48-3","0","0"
"114-26-1","0","0"
"142-04-1","0","0"
"90-94-8","0","0"
"10482-56-1","0","0"
"1121-78-4","0","0"
"57-97-6","0","0"
"110-65-6","0","0"
"21087-64-9","0","0"
"868-85-9","0","0"
"929601-09-2","0","0"
"18794-84-8","0","0"
"104098-48-8","0","0"
"19721-22-3","0","0"
"126-98-7","0","0"
"1948-33-0","0","0"
"110-42-9","0","0"
"1569-60-4","0","0"
"1207-12-1","0","0"
"2491-38-5","0","0"
"123-99-9","0","0"
"620-17-7","0","0"
"63-25-2","0","0"
"59-30-3","0","0"
"142459-58-3","0","0"
"298-07-7","0","0"
"289716-94-5","0","0"
"109-55-7","0","0"
"119515-38-7","0","0"
"103-11-7","0","0"
"54-62-6","0","0"
"63612-50-0","0","0"
"133-06-2","0","0"
"13171-00-1","0","0"
"57966-95-7","0","0"
"13674-87-8","0","0"
"49562-28-9","0","0"
"119-07-3","0","0"
"3737-41-5","0","0"
"5234-68-4","0","0"
"112-70-9","0","0"
"98319-26-7","0","0"
"77-89-4","0","0"
"614-45-9","0","0"
"544-76-3","0","0"
"98-06-6","0","0"
"110-52-1","0","0"
"27344-41-8","0","0"
"140-10-3","0","0"
"156-10-5","0","0"
"10022-28-3","0","0"
"13826-35-2","0","0"
"609-23-4","0","0"
"7492-66-2","0","0"
"41372-08-1","0","0"
"3164-85-0","0","0"
"134-20-3","0","0"
"6259-76-3","0","0"
"196808-45-4","0","0"
"103-34-4","0","0"
"534-13-4","0","0"
"121-00-6","0","0"
"78-48-8","0","0"
"2859-67-8","0","0"
"122-18-9","0","0"
"230954-09-3","0","0"
"2451-62-9","0","0"
"919-30-2","0","0"
"264618-44-2","0","0"
"27253-33-4","0","0"
"80-05-7","0","0"
"97-23-4","0","0"
"207736-05-8","0","0"
"77-90-7","0","0"
"962-58-3","0","0"
"72-43-5","0","0"
"124-07-2","0","0"
"17557-23-2","0","0"
"122-99-6","0","0"
"827-19-0","0","0"
"112-50-5","0","0"
"122-73-6","0","0"
"126-07-8","0","0"
"135590-91-9","0","0"
"1907-65-9","0","0"
"79-19-6","0","0"
"88-85-7","0","0"
"103-26-4","0","0"
"145-73-3","0","0"
"105-99-7","0","0"
"92-52-4","0","0"
"102-27-2","0","0"
"79538-32-2","0","0"
"686756-87-6","0","0"
"120-55-8","0","0"
"1885-29-6","0","0"
"35256-85-0","0","0"
"80-27-3","0","0"
"26644-46-2","0","0"
"2694-54-4","0","0"
"1024-57-3","0","0"
"26530-20-1","0","0"
"91-22-5","0","0"
"84-75-3","0","0"
"34256-82-1","0","0"
"612-83-9","0","0"
"140-53-4","0","0"
"55179-31-2","0","0"
"123-92-2","0","0"
"108-03-2","0","0"
"94-96-2","0","0"
"118-47-8","0","0"
"120-56-9","0","0"
"95-48-7","0","0"
"100-37-8","0","0"
"116-66-5","0","0"
"3388-04-3","0","0"
"197077-55-7","0","0"
"79-30-1","0","0"
"5870-93-9","0","0"
"619-73-8","0","0"
"106-23-0","0","0"
"63-05-8","0","0"
"93-16-3","0","0"
"110-97-4","0","0"
"37764-25-3","0","0"
"95-87-4","0","0"
"50-70-4","0","0"
"4130-42-1","0","0"
"2605-79-0","0","0"
"57-14-7","0","0"
"1762-95-4","0","0"
"149-30-4","0","0"
"3697-42-5","0","0"
"7005-72-3","0","0"
"98-07-7","0","0"
"88-30-2","0","0"
"112-42-5","0","0"
"115-95-7","0","0"
"4437-85-8","0","0"
"52-76-6","0","0"
"62-23-7","0","0"
"55335-06-3","0","0"
"57-91-0","0","0"
"556-61-6","0","0"
"611-59-6","0","0"
"111-11-5","0","0"
"19666-30-9","0","0"
"116-17-6","0","0"
"92-04-6","0","0"
"88-58-4","0","0"
"100-51-6","0","0"
"512-56-1","0","0"
"75-12-7","0","0"
"106-22-9","0","0"
"117-80-6","0","0"
"67485-29-4","0","0"
"22915-73-7","0","0"
"98-86-2","0","0"
"100-00-5","0","0"
"1095-90-5","0","0"
"106-65-0","0","0"
"184653-84-7","0","0"
"51-28-5","0","0"
"119-61-9","0","0"
"3926-62-3","0","0"
"31482-56-1","0","0"
"76-44-8","0","0"
"95-50-1","0","0"
"18924-66-8","0","0"
"115-77-5","0","0"
"78-40-0","0","0"
"3811-73-2","0","0"
"144-49-0","0","0"
"147526-32-7","0","0"
"4553-62-2","0","0"
"80-43-3","0","0"
"6610-29-3","0","0"
"112-27-6","0","0"
"91-20-3","0","0"
"113-48-4","0","0"
"473-55-2","0","0"
"54-31-9","0","0"
"104-54-1","0","0"
"NOCAS_47342","0","0"
"54464-57-2","0","0"
"20120-33-6","0","0"
"1120-36-1","0","0"
"67-20-9","0","0"
"489-01-0","0","0"
"25606-41-1","0","0"
"110-15-6","0","0"
"131-11-3","0","0"
"112-63-0","0","0"
"124-76-5","0","0"
"171118-09-5","0","0"
"118-56-9","0","0"
"111-62-6","0","0"
"65-85-0","0","0"
"10265-92-6","0","0"
"827-94-1","0","0"
"87-13-8","0","0"
"149062-75-9","0","0"
"30516-87-1","0","0"
"70-30-4","0","0"
"96-45-7","0","0"
"10016-20-3","0","0"
