"","Real","Predict"
"2627-95-4","0","0"
"20780-48-7","0","0"
"93-08-3","0","0"
"1939-36-2","0","0"
"114311-32-9","0","0"
"76-83-5","0","0"
"51580-86-0","0","0"
"60-35-5","0","0"
"35045-02-4","0","0"
"72178-02-0","0","0"
"103-41-3","0","0"
"110-75-8","0","0"
"1885-14-9","0","0"
"821-55-6","0","0"
"55934-93-5","0","0"
"NOCAS_47311","0","0"
"706-14-9","0","0"
"57-10-3","0","0"
"5700-49-2","0","0"
"131807-57-3","0","0"
"59-67-6","0","0"
"86-30-6","0","0"
"70630-17-0","0","0"
"118-71-8","0","0"
"108-95-2","0","0"
"498-81-7","0","0"
"496-11-7","0","0"
"139290-65-6","0","0"
"115-32-2","0","0"
"1873-88-7","0","0"
"2996-92-1","0","0"
"626-60-8","0","0"
"88-12-0","0","0"
"111-43-3","0","0"
"33956-49-9","0","0"
"510-15-6","0","0"
"827-21-4","0","0"
"152019-73-3","0","0"
"119-47-1","0","0"
"626-64-2","0","0"
"93-56-1","0","0"
"5536-61-8","0","0"
"95-14-7","0","0"
"635-22-3","0","0"
"112-30-1","0","0"
"111-77-3","0","0"
"100-25-4","0","0"
"95-13-6","0","0"
"591-12-8","0","0"
"109-08-0","0","0"
"NOCAS_47328","0","0"
"528-29-0","0","0"
"130-15-4","0","0"
"2425-77-6","0","0"
"123-96-6","0","0"
"3524-68-3","0","0"
"1806-26-4","0","0"
"141-91-3","0","0"
"111-42-2","0","0"
"6379-73-3","0","0"
"630-56-8","0","0"
"142-62-1","0","0"
"NOCAS_48166","0","0"
"16752-77-5","0","0"
"100-80-1","0","0"
"59669-26-0","0","0"
"56-37-1","0","0"
"478149-53-0","0","0"
"84-69-5","0","0"
"117-08-8","0","0"
"110-44-1","0","0"
"15214-89-8","0","0"
"90-12-0","0","0"
"97-59-6","0","0"
"53-86-1","0","0"
"1689-84-5","0","0"
"791-31-1","0","0"
"23184-66-9","0","0"
"1897-45-6","0","0"
"17754-90-4","0","0"
"108-11-2","0","0"
"682-01-9","0","0"
"72-54-8","0","0"
"2528-16-7","0","0"
"104206-82-8","0","0"
"818-61-1","1","0"
"709-98-8","1","0"
"55290-64-7","1","0"
"108-46-3","1","0"
"117718-60-2","1","0"
"6344-67-8","1","0"
"120-47-8","1","0"
"585-34-2","1","0"
"838-88-0","1","0"
"10081-67-1","1","0"
"83657-24-3","1","0"
"123-31-9","1","0"
"NOCAS_47267","1","0"
"17924-92-4","1","0"
"13048-33-4","1","0"
"114369-43-6","1","0"
"496-72-0","1","0"
"2310-17-0","1","1"
"20265-97-8","1","1"
"41198-08-7","1","0"
"84371-65-3","1","1"
"21739-91-3","1","0"
"61-73-4","1","0"
"NOCAS_47374","1","0"
"540-38-5","1","0"
"302-79-4","1","0"
"1061517-62-1","1","0"
