"CASRN","DTXSID","chem_name","MC","SteroidSynth","ERactivity","gentox","Consumer","Diet","Pharma","Pesticide","Industrial","HPV","U95intake","P65_Cancer","P65_Dev"
"16301-26-1","DTXSID4020585","Z-Ethyl-O,N,N-azoxyethane","MC",NA,NA,"negative","Consumer_exp","Diet_exp",NA,NA,"Industrial_exp",NA,"Less than 1 ug/kg/day",NA,NA
"1694-09-3","DTXSID7021441","Benzyl Violet 4B","MC",NA,NA,"positive",NA,"Diet_FDA_exp",NA,"Pesticide_cp_exp",NA,NA,"Less than 1 ug/kg/day","Cancer",NA
"1746-01-6","DTXSID2021315","2,3,7,8-Tetrachlorodibenzo-p-dioxin","MC",NA,NA,"negative",NA,NA,NA,NA,"Industrial_exp",NA,"Less than 1 ug/kg/day","Cancer","Dev"
"18774-85-1","DTXSID6020698","N-Hexylnitrosourea","MC",NA,NA,"positive",NA,NA,NA,NA,"Industrial_exp",NA,"Less than 1 ug/kg/day",NA,NA
"189-55-9","DTXSID9059751","Dibenzo[a,i]pyrene","MC",NA,NA,"positive","Consumer_exp",NA,NA,NA,"Industrial_exp",NA,"Less than 1 ug/kg/day","Cancer",NA
"189-64-0","DTXSID4059752","Dibenzo[a,h]pyrene","MC",NA,NA,"positive","Consumer_exp",NA,NA,NA,"Industrial_exp",NA,"Less than 1 ug/kg/day","Cancer",NA
"19044-88-3","DTXSID8024238","Oryzalin","MC","negative","not_agonist","no test","Consumer_cp","Diet_cp_exp",NA,"Pesticide_cp_exp",NA,NA,"Between 1 to 100 ug/kg/day","Cancer",NA
"1912-24-9","DTXSID9020112","Atrazine","MC","E2P4up","not_agonist","negative","Consumer_cp_exp","Diet_cp",NA,"Pesticide_cp_exp",NA,"HPV","Less than 1 ug/kg/day",NA,"Dev_F"
"191-30-0","DTXSID9059753","Dibenzo[a,l]pyrene","MC",NA,NA,"positive","Consumer_exp",NA,NA,NA,"Industrial_exp",NA,"Less than 1 ug/kg/day","Cancer",NA
"1937-37-7","DTXSID7020184","C.I. Direct Black 38","MC",NA,NA,"positive",NA,NA,NA,NA,"Industrial_exp",NA,"Less than 1 ug/kg/day","Cancer",NA
"20325-40-0","DTXSID1020485","3,3'-Dimethoxybenzidine dihydrochloride","MC","E2P4up","not_agonist","positive",NA,NA,NA,NA,"Industrial_exp",NA,"Between 1 to 100 ug/kg/day","Cancer",NA
"20830-81-3","DTXSID7022883","Daunorubicin","MC",NA,NA,"positive",NA,NA,"Pharma_FDA_Rx",NA,NA,NA,NA,"Cancer",NA
"2113-61-3","DTXSID0020072","4-Biphenylamine hydrochloride","MC",NA,NA,"positive","Consumer_exp",NA,NA,NA,"Industrial_exp",NA,"Between 1 to 100 ug/kg/day",NA,NA
"21638-36-8","DTXSID2020848","4-Methyl-1-[(5-nitrofurfurylidene)amino]-2-imidazolidinone","MC",NA,NA,"positive",NA,NA,"Pharma_cp",NA,NA,NA,NA,NA,NA
"21725-46-2","DTXSID1023990","Cyanazine","MC","E2up","not_agonist","positive","Consumer_cp","Diet_cp",NA,"Pesticide_cp_exp",NA,NA,"Less than 1 ug/kg/day",NA,"Dev"
"21739-91-3","DTXSID5020368","Cytembena","MC","E2P4up",NA,"positive",NA,NA,NA,"Pesticide_exp",NA,NA,"Between 1 to 100 ug/kg/day","Cancer",NA
"21928-82-5","DTXSID3020883","(N-6)-(Methylnitroso)adenosine","MC",NA,NA,"no test",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22398-80-7","DTXSID3031444","Indium phosphide","MC",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,"Cancer",NA
"23214-92-8","DTXSID8021480","Doxorubicin","MC",NA,NA,"positive",NA,NA,"Pharma_FDA_Rx",NA,NA,NA,NA,NA,NA
"2393-53-5","DTXSID00946752","17-Oxoestra-1(10),2,4-trien-3-yl benzoate","MC",NA,NA,"no test",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2425-06-1","DTXSID4020242","Captafol","MC","E2P4up","not_agonist","positive","Consumer_cp","Diet_cp",NA,"Pesticide_cp_exp",NA,NA,"Less than 1 ug/kg/day","Cancer",NA
"24554-26-5","DTXSID4020953","N-(4-(5-Nitro-2-furyl)-2-thiazolyl)formamide","MC",NA,NA,"positive",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2593-15-9","DTXSID3032547","Etridiazole","MC","E2P4up","not_agonist","no test","Consumer_cp","Diet_cp",NA,"Pesticide_cp_exp",NA,NA,"Between 1 to 100 ug/kg/day","Cancer",NA
"25962-77-0",NA,"Trans-2-[(dimethylamino)methylimino]-5-[2-(5-nitro-2-furyl)vinyl]-1,3,4-oxadiazole","MC",NA,NA,"no test",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26049-68-3","DTXSID8020705","2-Hydrazino-4-(5-nitro-2-furyl)thiazole","MC",NA,NA,"no test",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26049-69-4","DTXSID1020518","2-(2,2-Dimethylhydrazino)-4-(5-nitro-2-furyl)thiazole","MC",NA,NA,"positive",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26049-70-7","DTXSID3020706","2-Hydrazino-4-(4-nitrophenyl)thiazole","MC",NA,NA,"positive",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26049-71-8","DTXSID3020704","2-Hydrazino-4-(4-aminophenyl) thiazole","MC",NA,NA,"positive",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26471-62-5","DTXSID0024341","Toluene diisocyanate","MC",NA,NA,"positive","Consumer_cp","Diet_cp",NA,NA,NA,"HPV",NA,"Cancer",NA
"28754-68-9","DTXSID1020061","trans-5-Amino-3[2-(5-nitro-2-furyl)vinyl]-1,2,4-oxadiazole","MC",NA,NA,"no test",NA,NA,NA,NA,NA,NA,NA,NA,NA
"297-76-7","DTXSID4020614","Ethynodiol diacetate","MC",NA,NA,"no test",NA,NA,"Pharma_FDA_Rx",NA,NA,NA,NA,NA,NA
"302-01-2","DTXSID3020702","Hydrazine","MC",NA,NA,"positive","Consumer_cp","Diet_FDA",NA,NA,NA,"HPV",NA,"Cancer",NA
"302-15-8","DTXSID9020875","Methylhydrazine sulfate","MC",NA,NA,"no test",NA,NA,NA,NA,NA,NA,NA,"Cancer",NA
"302-22-7","DTXSID6020274","Chlormadinone acetate","MC",NA,NA,"positive",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3031-51-4","DTXSID4020909","(S)-Furaltadone hydrochloride","MC",NA,NA,"no test",NA,NA,NA,NA,NA,NA,NA,NA,NA
"303-47-9","DTXSID7021073","Ochratoxin A","MC",NA,NA,"positive",NA,"Diet_naturally_occurring",NA,NA,NA,NA,NA,"Cancer",NA
"305-03-3","DTXSID7020263","Chlorambucil","MC",NA,NA,"positive",NA,NA,"Pharma_FDA_Rx",NA,NA,NA,NA,"Cancer","Dev"
"3096-50-2","DTXSID6021088","N-(9-Oxo-2-fluorenyl)acetamide","MC",NA,NA,"no test",NA,NA,NA,NA,NA,NA,NA,NA,NA
"320-67-2","DTXSID9020116","5-Azacytidine","MC",NA,NA,"positive",NA,NA,"Pharma_FDA_Rx",NA,NA,NA,NA,"Cancer",NA
"32852-21-4","DTXSID7020639","Formic acid 2-(4-methyl-2-thiazolyl)hydrazide","MC",NA,NA,"no test",NA,NA,NA,"Pesticide_exp",NA,NA,"Less than 1 ug/kg/day",NA,NA
"3296-90-0","DTXSID9020164","Pentaerythritol dibromide","MC","negative","not_agonist","positive",NA,NA,NA,NA,"Industrial_exp","HPV","100 ug/kg/day or more","Cancer",NA
"330-54-1","DTXSID0020446","Diuron","MC","negative","not_agonist","positive","Consumer_cp","Diet_cp_exp",NA,"Pesticide_cp_exp",NA,"HPV","Between 1 to 100 ug/kg/day","Cancer",NA
"33372-39-3","DTXSID3020176","4-Bis(2-hydroxyethyl)amino-2-(5-nitro-2-thienyl)quinazoline","MC",NA,NA,"positive",NA,NA,NA,NA,NA,NA,NA,NA,NA
"335-67-1","DTXSID8031865","Perfluorooctanoic acid","MC","negative","not_agonist","positive","Consumer_cp_exp","Diet_cp_exp",NA,NA,NA,NA,"Less than 1 ug/kg/day",NA,"Dev"
"3546-10-9","DTXSID6021119","Phenesterin","MC",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,"Cancer",NA
"3570-75-0","DTXSID6020640","Formic acid 2-[4-(5-nitro-2-furyl)-2-thiazolyl]hydrazide","MC",NA,NA,"positive",NA,NA,"Pharma_cp",NA,NA,NA,NA,"Cancer",NA
"3604-87-3","DTXSID2020553","alpha-Ecdysone","MC",NA,NA,"no test",NA,"Diet_naturally_occurring",NA,NA,NA,NA,NA,NA,NA
"363-17-7","DTXSID3020629","N-(2-Fluorenyl)-2,2,2-trifluoroacetamide","MC",NA,NA,"no test",NA,NA,NA,"Pesticide_exp",NA,NA,"Less than 1 ug/kg/day",NA,NA
"366-70-1","DTXSID3021190","Procarbazine hydrochloride","MC",NA,NA,"positive",NA,NA,"Pharma_FDA_Rx","Pesticide_exp",NA,NA,"Less than 1 ug/kg/day","Cancer","Dev"
"3688-53-7","DTXSID9020033","AF-2","MC",NA,NA,"positive",NA,NA,NA,NA,NA,NA,NA,"Cancer",NA
"3775-55-1","DTXSID2020058","2-Amino-5-(5-nitro-2-furyl)-1,3,4-oxadiazole","MC",NA,NA,"no test",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3778-73-2","DTXSID7020760","Ifosfamide","MC",NA,NA,"positive","Consumer_cp",NA,"Pharma_FDA_Rx",NA,NA,NA,NA,NA,"Dev"
"3795-88-8","DTXSID6043834","Levofuraltadone","MC",NA,NA,"no test",NA,NA,"Pharma_cp",NA,NA,NA,NA,NA,NA
"39156-41-7","DTXSID7020398","2,4-Diaminoanisole sulfate","MC",NA,NA,"positive","Consumer_cp",NA,NA,"Pesticide_cp","Industrial_exp",NA,"Between 1 to 100 ug/kg/day","Cancer",NA
"4075-79-0","DTXSID8039243","4-Acetylaminobiphenyl","MC",NA,NA,"positive",NA,NA,NA,"Pesticide_exp",NA,NA,"Less than 1 ug/kg/day",NA,NA
"42011-48-3","DTXSID9021394","2,2,2-Trifluoro-N-[4-(5-nitro-2-furyl)-2-thiazolyl]acetamide","MC",NA,NA,"positive",NA,NA,NA,"Pesticide_exp",NA,NA,"Less than 1 ug/kg/day",NA,NA
"42397-65-9","DTXSID2073514","1,8-Dinitropyrene","MC",NA,NA,"positive",NA,NA,NA,NA,"Industrial_exp",NA,"Less than 1 ug/kg/day","Cancer",NA
"4342-03-4","DTXSID0020369","Dacarbazine","MC",NA,NA,"positive","Consumer_cp",NA,"Pharma_FDA_Rx",NA,NA,NA,NA,"Cancer","Dev"
"443-48-1","DTXSID2020892","Metronidazole","MC",NA,NA,"positive","Consumer_cp","Diet_cp","Pharma_FDA_Rx","Pesticide_cp_exp",NA,NA,"Less than 1 ug/kg/day","Cancer",NA
"446-72-0","DTXSID5022308","Genistein","MC","negative","agonist","positive",NA,NA,NA,NA,"Industrial_exp",NA,"Less than 1 ug/kg/day",NA,NA
"4680-78-8","DTXSID3020671","FD&C Green No. 1","MC",NA,NA,"no test",NA,"Diet_FDA_cp",NA,"Pesticide_exp",NA,NA,"Between 1 to 100 ug/kg/day",NA,NA
"488-41-5","DTXSID7022918","Dibromomannitol","MC",NA,NA,"positive",NA,NA,"Pharma_cp",NA,NA,NA,NA,NA,NA
"49540-32-1","DTXSID20197820","1,3-Diethyl-1-nitrosourea","MC",NA,NA,"no test",NA,NA,NA,NA,"Industrial_exp",NA,"Less than 1 ug/kg/day",NA,NA
"50-07-7","DTXSID2020898","Mitomycin C","MC",NA,NA,"positive",NA,NA,"Pharma_FDA_Rx",NA,NA,NA,NA,"Cancer",NA
"50-18-0","DTXSID5020364","Cyclophosphamide","MC",NA,NA,"positive",NA,NA,"Pharma_FDA_Rx",NA,NA,NA,NA,"Cancer","Dev_F_M"
"50-27-1","DTXSID9022366","Estriol","MC",NA,"agonist","positive","Consumer_cp","Diet_cp",NA,NA,NA,NA,NA,NA,NA
"50-28-2","DTXSID0020573","17beta-Estradiol","MC",NA,"agonist","positive","Consumer_cp","Diet_cp","Pharma_FDA_Rx",NA,NA,NA,NA,"Cancer",NA
"50-32-8","DTXSID2020139","Benzo(a)pyrene","MC",NA,NA,"positive","Consumer_cp_exp","Diet_cp",NA,NA,"Industrial_exp",NA,"Between 1 to 100 ug/kg/day","Cancer",NA
"5036-03-3","DTXSID1020724","1-(2-Hydroxyethyl)-3-[(5-nitrofurfurylidene)amino]-2-imidazolidinone","MC",NA,NA,"positive",NA,NA,"Pharma_cp",NA,NA,NA,NA,NA,NA
"50-55-5","DTXSID7021237","Reserpine","MC",NA,"not_agonist","negative","Consumer_cp",NA,"Pharma_FDA_discontinued",NA,NA,NA,NA,"Cancer",NA
"51264-14-3","DTXSID4022604","Amsacrine","MC",NA,NA,"positive",NA,NA,"Pharma_cp",NA,NA,NA,NA,"Cancer",NA
"51325-35-0","DTXSID9020954","N,N'-[6-(5-Nitro-2-furyl)-S-triazine-2,4-diyl]bisacetamide","MC",NA,NA,"positive",NA,NA,NA,NA,NA,NA,NA,NA,NA
"51630-58-1","DTXSID101017940","Fenvalerate","MC","negative","not_agonist","positive","Consumer_cp","Diet_cp_exp",NA,"Pesticide_cp_exp",NA,NA,"Between 1 to 100 ug/kg/day",NA,NA
"51-79-6","DTXSID9021427","Urethane","MC","negative","not_agonist","positive","Consumer_exp",NA,"Pharma_cp",NA,"Industrial_exp",NA,"Between 1 to 100 ug/kg/day","Cancer","Dev"
"52-24-4","DTXSID0021339","Thiotepa","MC",NA,NA,"positive","Consumer_cp",NA,"Pharma_FDA_Rx",NA,NA,NA,NA,"Cancer",NA
"52-76-6","DTXSID4021478","Lynestrenol","MC","negative",NA,"positive","Consumer_exp",NA,"Pharma_cp",NA,NA,NA,"Less than 1 ug/kg/day","Cancer",NA
"531-18-0","DTXSID1020693","Hexamethylolmelamine","MC",NA,NA,"no test",NA,NA,NA,NA,NA,NA,NA,NA,NA
"53-16-7","DTXSID4022367","Estrone","MC",NA,"agonist","positive","Consumer_cp","Diet_cp_exp","Pharma_FDA_discontinued",NA,NA,NA,"Between 1 to 100 ug/kg/day","Cancer",NA
"531-76-0","DTXSID9031569","Merphalan","MC",NA,NA,"no test",NA,NA,"Pharma_cp",NA,NA,NA,NA,"Cancer",NA
"531-82-8","DTXSID9020952","N-[4-(5-Nitro-2-furyl)-2-thiazolyl]acetamide","MC",NA,NA,"positive",NA,NA,NA,NA,NA,NA,NA,"Cancer",NA
"531-85-1","DTXSID7020138","Benzidine dihydrochloride","MC",NA,NA,"positive",NA,NA,NA,NA,"Industrial_exp",NA,"Between 1 to 100 ug/kg/day",NA,NA
"53-70-3","DTXSID9020409","Dibenz(a,h)anthracene","MC",NA,"not_agonist","positive","Consumer_cp_exp",NA,NA,NA,"Industrial_exp",NA,"Between 1 to 100 ug/kg/day","Cancer",NA
"53757-28-1","DTXSID4020951","4-(5-Nitro-2-furyl)thiazole","MC",NA,NA,"positive","Consumer_exp",NA,NA,NA,"Industrial_exp",NA,"Less than 1 ug/kg/day",NA,NA
"53-86-1","DTXSID9020740","1-(p-Chlorobenzoyl)-5-methoxy-2-methyl-Indole-3-acetic acid","MC","negative","not_agonist","positive",NA,NA,"Pharma_FDA_Rx",NA,NA,NA,NA,NA,NA
"53-95-2","DTXSID2020719","N-Hydroxy-2-acetylaminofluorene","MC",NA,NA,"positive",NA,NA,NA,NA,NA,NA,NA,NA,NA
"53-96-3","DTXSID0039227","2-Acetylaminofluorene","MC",NA,NA,"positive",NA,NA,NA,NA,NA,NA,NA,"Cancer",NA
"5405-53-8","DTXSID8075253","9H-Fluorene, 2,7-dinitro-","MC",NA,NA,"positive",NA,NA,NA,NA,"Industrial_exp",NA,"Less than 1 ug/kg/day",NA,NA
"542-75-6","DTXSID1022057","1,3-Dichloropropene","MC",NA,NA,"positive","Consumer_cp_exp","Diet_cp",NA,"Pesticide_cp_exp","Industrial_exp","HPV","100 ug/kg/day or more","Cancer",NA
"54-31-9","DTXSID6020648","Furosemide","MC","negative",NA,"positive","Consumer_cp","Diet_cp","Pharma_FDA_Rx","Pesticide_cp",NA,"HPV",NA,NA,NA
"54-85-3","DTXSID8020755","Isoniazid","MC","negative","not_agonist","positive",NA,NA,"Pharma_FDA_Rx",NA,NA,NA,NA,NA,NA
"55120-47-3","DTXSID10203641","N,N'-Dimethylnitrosourea","MC",NA,NA,"no test",NA,"Diet_exp",NA,"Pesticide_exp","Industrial_exp",NA,"Less than 1 ug/kg/day",NA,NA
"55-18-5","DTXSID2021028","N-Nitrosodiethylamine","MC","negative","not_agonist","positive","Consumer_exp","Diet_cp",NA,NA,"Industrial_exp",NA,"Between 1 to 100 ug/kg/day","Cancer",NA
"551-92-8","DTXSID5020497","1,2-Dimethyl-5-nitroimidazole","MC",NA,NA,"positive","Consumer_exp",NA,"Pharma_cp",NA,"Industrial_exp",NA,"Between 1 to 100 ug/kg/day",NA,NA
"5522-43-0","DTXSID6020983","1-Nitropyrene","MC",NA,NA,"positive","Consumer_exp",NA,NA,NA,"Industrial_exp",NA,"Between 1 to 100 ug/kg/day","Cancer",NA
"55283-68-6","DTXSID8032386","N-Ethyl-N-(2-methyl-2-propenyl)-2,6-dinitro-4-(trifluoromethyl)benzenamine","MC","negative","weak_agonist","positive","Consumer_cp","Diet_cp_exp",NA,"Pesticide_cp_exp",NA,NA,"Between 1 to 100 ug/kg/day",NA,NA
"555-84-0","DTXSID2020973","1-[(5-Nitrofurfurylidene)amino]-2-imidazolidinone","MC",NA,NA,"positive",NA,NA,"Pharma_cp",NA,NA,NA,NA,"Cancer",NA
"556-52-5","DTXSID4020666","Glycidol","MC","negative","not_agonist","positive","Consumer_exp","Diet_exp",NA,"Pesticide_exp","Industrial_exp",NA,"Less than 1 ug/kg/day","Cancer",NA
"5589-96-8","DTXSID4024642","Bromochloroacetic acid","MC",NA,NA,"positive","Consumer_exp",NA,NA,"Pesticide_exp","Industrial_exp",NA,"Between 1 to 100 ug/kg/day","Cancer",NA
"56-23-5","DTXSID8020250","Carbon tetrachloride","MC",NA,NA,"positive","Consumer_cp_exp","Diet_cp_exp",NA,"Pesticide_cp","Industrial_exp","HPV","Less than 1 ug/kg/day","Cancer",NA
"56-38-2","DTXSID7021100","Parathion","MC","E2P4up","not_agonist","positive","Consumer_cp","Diet_cp",NA,"Pesticide_cp_exp",NA,"HPV","Less than 1 ug/kg/day","Cancer",NA
"56-49-5","DTXSID0020862","3-Methylcholanthrene","MC",NA,NA,"positive","Consumer_exp",NA,NA,NA,"Industrial_exp",NA,"Between 1 to 100 ug/kg/day","Cancer",NA
"56-53-1","DTXSID3020465","Diethylstilbestrol","MC","E2up","agonist","positive",NA,NA,"Pharma_FDA_discontinued",NA,NA,NA,NA,"Cancer","Dev"
